Nid,Title,Body,Path,Published,Language,Holiday Date,Holiday Type
81085,Maha Ashtami,"Maha Ashtami
",/content/maha-ashtami-1,1,en,12-10-2013,Restricted
81086,Maharishi Valmiki Jayanti,"Maharishi Valmiki Jayanti
",/content/maharishi-valmiki-jayanti-1,1,en,18-10-2013,Restricted
81087,Karaka Chaturthi (Karva Chouth),"Karaka Chaturthi (Karva Chouth)
",/content/karaka-chaturthi-karva-chouth-0,1,en,22-10-2013,Restricted
81088,Deepavali (South India)/Naraka Chaturdasi,"Deepavali (South India)/Naraka Chaturdasi
",/content/deepavali-south-indianaraka-chaturdasi,1,en,02-11-2013,Restricted
81089,Bhai Duj,"Bhai Duj
",/content/bhai-duj-1,1,en,05-11-2013,Restricted
81090,Pratihar Sashthi/Surya Sashthi (Chhat Puja),"Pratihar Sashthi/Surya Sashthi (Chhat Puja)
",/content/pratihar-sashthisurya-sashthi-chhat-puja-1,1,en,08-11-2013,Restricted
81091,Guru Teg Bahadur's Martyrdom Day,"Guru Teg Bahadur's Martyrdom Day
",/content/guru-teg-bahadurs-martyrdom-day-1,1,en,24-11-2013,Restricted
81092,Christmas Eve,"Christmas Eve
",/content/christmas-eve-1,1,en,24-12-2013,Restricted
370449,Milad-Un-Nabi or Id-E-Milad (Birthday of Prophet Mohammad),"Milad-Un-Nabi or Id-E-Milad (Birthday of Prophet Mohammad)
",/content/milad-un-nabi-or-id-e-milad-birthday-prophet-mohammad,1,en,14-01-2014,Gazetted
370450,Republic Day,"Republic Day
",/content/republic-day-2,1,en,26-01-2014,Gazetted
370451,Holi,"Holi
",/content/holi-2,1,en,17-03-2014,Gazetted
370460,Ram Navami,"Ram Navami
",/content/ram-navami-2,1,en,08-04-2014,Gazetted
370461,Mahavir Jayanti,"Mahavir Jayanti
",/content/mahavir-jayanti-2,1,en,13-04-2014,Gazetted
370462,Good Friday,"Good Friday
",/content/good-friday-2,1,en,18-04-2014,Gazetted
370463,Buddha Purnima,"Buddha Purnima
",/content/buddha-purnima-2,1,en,14-05-2014,Gazetted
370464,Idu'l Fitr,"Idu'l Fitr
",/content/idul-fitr,1,en,29-07-2014,Gazetted
370465,Independence day,"Independence day
",/content/independence-day-2,1,en,15-08-2014,Gazetted
370466,Janmashtami,"Janmashtami
",/content/janmashtami,1,en,18-08-2014,Gazetted
370467,Mahatma Gandhi's Birthday,"Mahatma Gandhi's Birthday
",/content/mahatma-gandhis-birthday,1,en,02-10-2014,Gazetted
370468,Dussehra,"Dussehra
",/content/dussehra,1,en,03-10-2014,Gazetted
370470,Id-ul-Zuha(Bakrid),"Id-ul-Zuha(Bakrid)
",/content/id-ul-zuhabakrid,1,en,06-10-2014,Gazetted
370471,Diwali (Deepavali),"Diwali (Deepavali)
",/content/diwali-deepavali-2,1,en,23-10-2014,Gazetted
370472,Muharram,"Muharram
",/content/muharram-2,1,en,04-11-2014,Gazetted
370473,Guru Nanak's Birthday,Guru Nanak's Birthday,/content/guru-nanaks-birthday,1,en,06-11-2014,Gazetted
370474,Christmas Day,"Christmas Day
",/content/christmas-day,1,en,25-12-2014,Gazetted
370507,New Year's Day,"New Year's Day
",/content/new-years-day-2,1,en,01-01-2014,Restricted
370558,Guru Gobind Singh's Birthday,"Guru Gobind Singh's Birthday
",/content/guru-gobind-singhs-birthday,1,en,07-01-2014,Restricted
370559,Makar Sankranti,"Makar Sankranti
",/content/makar-sankranti-1,1,en,14-01-2014,Restricted
370560,Pongal,"Pongal
",/content/pongal-2,1,en,14-01-2014,Restricted
370561,Basant Panchami/Sri Panchami,"Basant Panchami/Sri Panchami
",/content/basant-panchamisri-panchami,1,en,04-02-2014,Restricted
370562,Guru Ravidas's Birthday,"Guru Ravidas's Birthday
",/content/guru-ravidass-birthday,1,en,14-02-2014,Restricted
370563,Shivaji Jayanti,"Shivaji Jayanti
",/content/shivaji-jayanti-2,1,en,19-02-2014,Restricted
370564,Swami Dayananda Saraswati Jayanti,"Swami Dayananda Saraswati Jayanti
",/content/swami-dayananda-saraswati-jayanti,1,en,24-02-2014,Restricted
370565,Maha Shivaratri,"Maha Shivaratri
",/content/maha-shivaratri-2,1,en,27-02-2014,Restricted
370566,Holika Dahan,"Holika Dahan
",/content/holika-dahan,1,en,16-03-2014,Restricted
370567,Chaitra Suldadi/Gudi Padava/Ugadi/Cheti Chand,"Chaitra Suldadi/Gudi Padava Ugadi/Cheti Chand
",/content/chaitra-suldadigudi-padavaugadicheti-chand,1,en,31-03-2014,Restricted
370570,Vaisakhadi(Bengal)/Bahag Bihu (Assam),"Vaisakhadi(Bengal)/Bahag Bihu (Assam)
",/content/vaisakhadibengalbahag-bihu-assam,1,en,15-04-2014,Restricted
370578,Easter Sunday,"Easter Sunday
",/content/easter-sunday,1,en,20-04-2014,Restricted
370579,Guru Rabindranath's birthday,"Guru Rabindranath's birthday
",/content/guru-rabindranaths-birthday-2,1,en,09-05-2014,Restricted
370580,Hazarat Ali's Birthday,"Hazarat Ali's Birthday
",/content/hazarat-alis-birthday-2,1,en,13-05-2014,Restricted
370581,Rath Yatra,"Rath Yatra
",/content/rath-yatra-2,1,en,29-06-2014,Restricted
370582,Jamat-Ul-Vida,"Jamat-Ul-Vida
",/content/jamat-ul-vida-2,1,en,25-07-2014,Restricted
370583,Raksha Bandhan,"Raksha Bandhan
",/content/raksha-bandhan-1,1,en,10-08-2014,Restricted
370584,Parsi New Year's day/Nauroz,"Parsi New Year's day/Nauroz
",/content/parsi-new-years-daynauroz,1,en,18-08-2014,Restricted
370585,Vinayaka Chaturthi/Ganesh Chaturthi,"Vinayaka Chaturthi/Ganesh Chaturthi
",/content/vinayaka-chaturthiganesh-chaturthi-0,1,en,29-08-2014,Restricted
370586,Onam,"Onam
",/content/onam-2,1,en,07-09-2014,Restricted
370587,Dussehra (Maha Saptami) (Additional),"Dussehra (Maha Saptami)(Additional)
",/content/dussehra-maha-saptami-additional,1,en,01-10-2014,Restricted
370589,Dussehra (Maha Ashtami) (Additional),"Dussehra (Maha Ashtami)(Additional)
",/content/dussehra-maha-ashtami-additional,1,en,02-10-2014,Restricted
370590,Dussehra (Maha Navmi),"Dussehra (Maha Navmi)
",/content/dussehra-maha-navmi,1,en,03-10-2014,Restricted
370591,Maharishi Valmiki's Birthday,"Maharishi Valmiki's Birthday
",/content/maharishi-valmikis-birthday,1,en,08-10-2014,Restricted
370592,Karaka Chaturthi (Karva Chouth),"Karaka Chaturthi (Karva Chouth)
",/content/karaka-chaturthi-karva-chouth-1,1,en,11-10-2014,Restricted
370593,Deepavali (South India),"Deepavali (South India)
",/content/deepavali-south-india,1,en,22-10-2014,Restricted
370594,Naraka Chaturdasi,"Naraka Chaturdasi
",/content/naraka-chaturdasi-0,1,en,22-10-2014,Restricted
